right_ascension,declination,priority
0.6582250277777777,0.11369105555555556,2
0.6351827777777778,0.13791322222222221,2
0.3451434722222222,0.18880669444444445,2
0.3559911388888889,0.19825488888888887,2
0.13644775,0.19929244444444444,1
0.33111,0.2000104722222222,2
0.168321,0.20177019444444444,1
0.3663035,0.20204324999999998,2
0.3620213055555555,0.20306761111111113,2
0.13285288888888888,0.20353055555555558,2
0.3522928888888889,0.20749399999999998,2
0.165099,0.2101469722222222,3
0.3637633611111111,0.21045866666666668,2
0.13174216666666666,0.2117411388888889,3
0.12736977777777778,0.21206916666666664,3
0.16445613888888888,0.21211908333333332,3
0.18327052777777778,0.2170986388888889,3
0.14197013888888887,0.21937158333333334,2
0.3380635277777778,0.22052672222222222,2
0.4030405555555555,0.22148177777777778,2
0.4409138055555556,0.22181897222222224,2
0.3304047222222222,0.22233958333333334,3
0.1254495,0.22274772222222222,3
0.1668086666666667,0.22404158333333335,3
0.31878466666666666,0.22414719444444445,2
0.18890544444444446,0.22427363888888888,3
0.3554198611111111,0.2243052222222222,2
0.39390180555555554,0.22516266666666668,2
0.40756194444444444,0.22524497222222223,1
0.16858780555555555,0.22607030555555557,2
0.31723416666666665,0.22746141666666667,2
0.40655491666666665,0.22751852777777776,2
0.13628297222222222,0.22767288888888887,2
0.36659994444444444,0.22823763888888887,2
0.4142065,0.22827116666666666,2
0.13468869444444445,0.23202055555555556,3
0.17899638888888889,0.2321807777777778,3
0.37260641666666666,0.23267555555555555,2
0.4189896666666667,0.23308627777777777,2
0.37872555555555554,0.23308930555555554,2
0.12717825,0.23450452777777778,3
0.4146054722222222,0.23457183333333334,2
0.12047202777777778,0.2355325,3
0.1791493611111111,0.2355453611111111,3
0.3376834722222222,0.23629844444444445,2
0.3564718333333334,0.2364406666666667,2
0.16411705555555556,0.23779466666666665,3
0.4009361111111111,0.23904563888888888,2
0.3869161944444445,0.24056322222222223,3
0.3237960555555556,0.24060894444444444,2
0.41519019444444444,0.24144313888888888,2
0.12306433333333335,0.24185705555555553,1
0.40576130555555556,0.24194458333333332,2
0.42768116666666667,0.24222047222222223,2
0.40017141666666667,0.24279258333333334,3
0.46225944444444445,0.24510061111111112,2
0.11877058333333333,0.2451062777777778,1
0.12448213888888889,0.24520094444444443,3
0.16643116666666666,0.24537894444444444,3
0.34334519444444445,0.24718705555555553,2
0.4257403611111111,0.24853747222222222,1
0.18394294444444445,0.2493649722222222,1
0.14468355555555557,0.2518053055555556,1
0.41924477777777774,0.25287158333333337,2
0.3553219722222222,0.25414966666666666,3
0.3700202777777778,0.25505377777777777,2
0.3491810833333333,0.25547616666666667,2
0.15824191666666665,0.2556610833333333,1
0.17380144444444445,0.2600745555555556,3
0.1605476388888889,0.26017883333333336,1
0.35569627777777774,0.26035091666666665,2
0.8423815833333334,0.2607101666666667,2
0.406922,0.26177905555555553,2
0.443788,0.262399,2
0.35405844444444445,0.26480288888888887,2
0.40007127777777773,0.2648360833333333,2
0.41479577777777776,0.2648943611111111,2
0.16072169444444445,0.26511327777777777,3
0.14661677777777776,0.26513441666666665,3
0.14140727777777778,0.2657494722222222,3
0.1316951111111111,0.26625825000000003,2
0.8545116388888889,0.26785475000000003,2
0.37058286111111116,0.2679944722222222,2
0.8396162222222222,0.2681501388888889,2
0.13731830555555555,0.2691245,3
0.13168452777777778,0.2699370277777778,3
0.4002583611111111,0.27122880555555556,2
0.11615075,0.2722529166666667,3
0.8501025277777777,0.2726369444444445,2
0.39781997222222226,0.2730275555555555,2
0.11620013888888889,0.27695316666666664,1
0.8343459722222223,0.27697313888888886,2
0.11301319444444445,0.2771405,3
0.17001069444444444,0.2771492222222222,3
0.4515606388888889,0.2781359722222222,2
0.8420237222222223,0.27820525,2
0.1627441111111111,0.28124422222222223,3
0.4023280277777778,0.28248341666666665,2
0.8233281666666667,0.28254033333333334,2
0.3778576666666667,0.28258605555555555,2
0.4102621111111111,0.28313211111111114,2
0.8725183055555555,0.2849878888888889,2
0.146444,0.28674105555555557,2
0.17294402777777776,0.2882291111111111,3
0.13112422222222223,0.28827777777777774,2
0.8621326388888888,0.2888953055555556,2
0.8805157499999999,0.2892790277777778,2
0.8484254166666666,0.2895878055555556,2
0.8180379166666666,0.29068141666666664,2
0.8586689722222222,0.29217325,2
0.17308513888888888,0.2929825555555556,1
0.11081419444444444,0.2931825,1
0.12006827777777777,0.29388080555555557,3
0.16221772222222222,0.29544741666666663,3
0.15958208333333332,0.29710419444444447,3
0.8086629166666666,0.29720213888888886,2
0.8325486944444445,0.2979025,2
0.8208169166666667,0.29856405555555554,2
0.11028716666666666,0.3012550277777778,2
